date,country,H,I,S,M,D
2021-10-26,Japan,0,0,0,100,22
2021-10-26,Sweden,0,0,0,7,2
2021-10-27,Afghanistan,0,0,0,33,4
2021-10-27,Japan,0,0,0,100,22
2021-10-27,Sweden,0,0,0,7,2
2021-10-28,Afghanistan,0,0,0,33,4
2021-10-28,Japan,0,0,0,100,22
2021-10-28,Sweden,0,0,0,7,2
2021-10-29,Afghanistan,0,0,0,33,4
2021-10-29,Japan,0,0,0,100,22
2021-10-29,Sweden,0,0,0,7,2
2021-10-30,Afghanistan,0,0,0,33,4
2021-10-30,Japan,0,0,0,100,22
2021-10-30,Sweden,0,0,0,7,2
2021-10-31,Afghanistan,0,0,0,33,4
2021-10-31,Japan,0,0,0,100,22
2021-10-31,Sweden,0,0,0,7,2
2021-11-01,Afghanistan,0,0,0,33,4
2021-11-01,Japan,0,0,0,100,22
2021-11-01,Sweden,0,0,0,7,2
2021-11-02,Afghanistan,0,0,0,33,4
2021-11-02,Japan,0,0,0,100,22
2021-11-02,Sweden,0,0,0,7,2
2021-11-03,Afghanistan,0,0,0,33,4
2021-11-03,Japan,0,0,0,100,22
2021-11-03,Sweden,0,0,0,7,2
2021-11-04,Afghanistan,0,0,0,33,4
2021-11-04,Japan,0,0,0,100,22
2021-11-04,Sweden,0,0,0,7,2
2021-11-05,Afghanistan,0,0,0,33,4
2021-11-05,Japan,0,0,0,100,22
2021-11-05,Sweden,0,0,0,7,2
2021-11-06,Afghanistan,0,0,0,33,4
2021-11-06,Japan,0,0,0,100,22
2021-11-06,Sweden,0,0,0,7,2
2021-11-07,Afghanistan,0,0,0,33,4
2021-11-07,Japan,0,0,0,100,22
2021-11-07,Sweden,0,0,0,7,2
2021-11-08,Afghanistan,0,0,0,33,4
2021-11-08,Japan,0,0,0,100,22
2021-11-08,Sweden,0,0,0,7,2
2021-11-09,Afghanistan,0,0,0,33,4
2021-11-09,Japan,0,0,0,100,22
2021-11-09,Sweden,0,0,0,7,2
2021-11-10,Afghanistan,0,0,0,33,4
2021-11-10,Japan,0,0,0,100,22
2021-11-10,Sweden,0,0,0,7,2
2021-11-11,Afghanistan,0,0,0,33,4
2021-11-11,Japan,0,0,0,100,22
2021-11-11,Sweden,0,0,0,7,2
2021-11-12,Afghanistan,0,0,0,33,4
2021-11-12,Japan,0,0,0,100,22
2021-11-12,Sweden,0,0,0,7,2
2021-11-13,Afghanistan,0,0,0,33,4
2021-11-13,Japan,0,0,0,100,22
2021-11-13,Sweden,0,0,0,7,2
2021-11-14,Afghanistan,0,0,0,33,4
2021-11-14,Japan,0,0,0,100,22
2021-11-14,Sweden,0,0,0,7,2
2021-11-15,Afghanistan,0,0,0,33,4
2021-11-15,Japan,0,0,0,100,22
2021-11-15,Sweden,0,0,0,7,2
2021-11-16,Afghanistan,0,0,0,33,4
2021-11-16,Japan,0,0,0,100,22
2021-11-16,Sweden,0,0,0,7,2
2021-11-17,Afghanistan,0,0,0,33,4
2021-11-17,Japan,0,0,0,100,22
2021-11-17,Sweden,0,0,0,7,2
2021-11-18,Afghanistan,0,0,0,33,4
2021-11-18,Japan,0,0,0,100,22
2021-11-18,Sweden,0,0,0,7,2
2021-11-19,Afghanistan,0,0,0,33,4
2021-11-19,Japan,0,0,0,100,22
2021-11-19,Sweden,0,0,0,7,2
2021-11-20,Afghanistan,0,0,0,33,4
2021-11-20,Japan,0,0,0,100,22
2021-11-20,Sweden,0,0,0,7,2
2021-11-21,Afghanistan,0,0,0,33,4
2021-11-21,Japan,0,0,0,100,22
2021-11-21,Sweden,0,0,0,7,2
2021-11-22,Afghanistan,0,0,0,33,4
2021-11-22,Japan,0,0,0,100,22
2021-11-22,Sweden,0,0,0,7,2
2021-11-23,Afghanistan,0,0,0,33,4
2021-11-23,Japan,0,0,0,100,22
2021-11-23,Sweden,0,0,0,7,2
2021-11-24,Afghanistan,0,0,0,33,4
2021-11-24,Japan,0,0,0,100,22
2021-11-24,Sweden,0,0,0,7,2
2021-11-25,Afghanistan,0,0,0,33,4
2021-11-25,Japan,0,0,0,100,22
2021-11-25,Sweden,0,0,0,7,2
2021-11-26,Afghanistan,0,0,0,33,4
2021-11-26,Japan,0,0,0,100,22
2021-11-26,Sweden,0,0,0,7,2
2021-11-27,Afghanistan,0,0,0,33,4
2021-11-27,Japan,0,0,0,100,22
2021-11-27,Sweden,0,0,0,7,2
2021-11-28,Afghanistan,0,0,0,33,4
2021-11-28,Japan,0,0,0,100,22
2021-11-28,Sweden,0,0,0,7,2
2021-11-29,Afghanistan,0,0,0,33,4
2021-11-29,Japan,0,0,0,100,22
2021-11-29,Sweden,0,0,0,7,2
2021-11-30,Afghanistan,0,0,0,33,4
2021-11-30,Japan,0,0,0,100,22
2021-11-30,Sweden,0,0,0,7,2
2021-12-01,Afghanistan,0,0,0,33,4
2021-12-01,Japan,0,0,0,100,22
2021-12-01,Sweden,0,0,0,7,2
2021-12-02,Afghanistan,0,0,0,33,4
2021-12-02,Japan,0,0,0,100,22
2021-12-02,Sweden,0,0,0,7,2
2021-12-03,Afghanistan,0,0,0,33,4
2021-12-03,Japan,0,0,0,100,22
2021-12-03,Sweden,0,0,0,7,2
2021-12-04,Afghanistan,0,0,0,33,4
2021-12-04,Japan,0,0,0,100,22
2021-12-04,Sweden,0,0,0,7,2
2021-12-05,Afghanistan,0,0,0,33,4
2021-12-05,Japan,0,0,0,100,22
2021-12-05,Sweden,0,0,0,7,2
2021-12-06,Afghanistan,0,0,0,33,4
2021-12-06,Japan,0,0,0,100,22
2021-12-06,Sweden,0,0,0,7,2
2021-12-07,Afghanistan,0,0,0,33,4
2021-12-07,Japan,4,0,0,96,22
2021-12-07,Sweden,0,0,0,7,2
2021-12-08,Afghanistan,0,0,0,33,4
2021-12-08,Japan,5,1,0,94,22
2021-12-08,Sweden,1,0,0,6,2
2021-12-09,Afghanistan,1,0,0,32,4
2021-12-09,Japan,12,1,0,87,22
2021-12-09,Sweden,2,0,0,5,2
2021-12-10,Afghanistan,2,0,0,31,4
2021-12-10,Japan,14,4,0,82,22
2021-12-10,Sweden,1,1,0,5,2
2021-12-11,Afghanistan,2,0,0,31,4
2021-12-11,Japan,14,7,0,79,22
2021-12-11,Sweden,1,1,0,5,2
2021-12-12,Afghanistan,2,1,0,30,4
2021-12-12,Japan,16,8,1,75,22
2021-12-12,Sweden,1,1,0,5,2
2021-12-13,Afghanistan,3,1,0,29,4
2021-12-13,Japan,15,13,1,71,22
2021-12-13,Sweden,1,1,0,5,2
2021-12-14,Afghanistan,4,1,0,28,4
2021-12-14,Japan,8,19,3,70,22
2021-12-14,Sweden,1,1,1,4,2
2021-12-15,Afghanistan,5,1,0,27,4
2021-12-15,Japan,10,19,4,67,22
2021-12-15,Sweden,0,2,1,4,2
2021-12-16,Afghanistan,3,2,1,27,4
2021-12-16,Japan,9,19,5,67,22
2021-12-16,Sweden,0,2,1,4,2
2021-12-17,Afghanistan,2,3,1,27,4
2021-12-17,Japan,8,15,7,70,22
2021-12-17,Sweden,0,2,1,4,2
2021-12-18,Afghanistan,1,4,1,27,4
2021-12-18,Japan,8,6,12,74,22
2021-12-18,Sweden,0,1,2,4,2
2021-12-19,Afghanistan,1,4,1,27,4
2021-12-19,Japan,5,7,13,75,22
2021-12-19,Sweden,0,0,2,5,2
2021-12-20,Afghanistan,2,2,2,27,4
2021-12-20,Japan,3,7,13,77,22
2021-12-20,Sweden,0,0,2,5,2
2021-12-21,Afghanistan,1,2,3,27,4
2021-12-21,Japan,2,8,13,77,22
2021-12-21,Sweden,0,0,2,5,2
2021-12-22,Afghanistan,2,1,3,27,4
2021-12-22,Japan,5,8,13,74,22
2021-12-22,Sweden,2,0,2,3,2
2021-12-23,Afghanistan,4,2,3,24,4
2021-12-23,Japan,9,4,13,74,22
2021-12-23,Sweden,2,1,2,2,2
2021-12-24,Afghanistan,5,3,3,22,4
2021-12-24,Japan,12,5,13,70,22
2021-12-24,Sweden,2,1,2,2,2
2021-12-25,Afghanistan,5,5,4,19,4
2021-12-25,Japan,12,8,13,67,22
2021-12-25,Sweden,2,1,2,2,2
2021-12-26,Afghanistan,6,6,4,17,4
2021-12-26,Japan,13,10,12,65,22
2021-12-26,Sweden,2,1,2,2,2
2021-12-27,Afghanistan,6,7,5,15,4
2021-12-27,Japan,11,14,12,63,22
2021-12-27,Sweden,1,1,2,3,2
2021-12-28,Afghanistan,7,7,5,14,4
2021-12-28,Japan,12,13,12,63,22
2021-12-28,Sweden,1,1,1,3,3
2021-12-29,Afghanistan,7,5,6,15,4
2021-12-29,Japan,13,10,12,64,23
2021-12-29,Sweden,1,1,1,3,3
2021-12-30,Afghanistan,5,6,6,15,5
2021-12-30,Japan,13,13,12,61,23
2021-12-30,Sweden,0,2,1,3,3
2021-12-31,Afghanistan,3,6,7,16,5
2021-12-31,Japan,10,12,13,63,24
2021-12-31,Sweden,0,1,1,4,3
2022-01-01,Afghanistan,3,5,7,17,5
2022-01-01,Japan,8,15,8,65,26
2022-01-01,Sweden,0,1,0,5,3
2022-01-02,Afghanistan,2,5,8,17,5
2022-01-02,Japan,7,15,8,65,27
2022-01-02,Sweden,0,1,0,5,3
2022-01-03,Afghanistan,1,4,9,18,5
2022-01-03,Japan,6,11,11,67,27
2022-01-03,Sweden,0,0,1,5,3
2022-01-04,Afghanistan,4,2,10,16,5
2022-01-04,Japan,7,9,12,67,27
2022-01-04,Sweden,0,0,1,5,3
2022-01-05,Afghanistan,4,2,10,16,5
2022-01-05,Japan,7,6,14,68,27
2022-01-05,Sweden,0,0,1,5,3
2022-01-06,Afghanistan,4,1,11,16,5
2022-01-06,Japan,10,5,15,65,27
2022-01-06,Sweden,1,0,1,4,3
2022-01-07,Afghanistan,5,0,11,16,5
2022-01-07,Japan,10,6,15,64,27
2022-01-07,Sweden,1,0,1,4,3
2022-01-08,Afghanistan,5,0,10,17,5
2022-01-08,Japan,11,6,15,63,27
2022-01-08,Sweden,1,0,1,4,3
2022-01-09,Afghanistan,6,1,10,15,5
2022-01-09,Japan,9,6,16,64,27
2022-01-09,Sweden,1,0,1,4,3
2022-01-10,Afghanistan,6,1,9,16,5
2022-01-10,Japan,9,8,17,61,27
2022-01-10,Sweden,1,0,1,4,3
2022-01-11,Afghanistan,6,1,9,16,5
2022-01-11,Japan,8,7,16,64,27
2022-01-11,Sweden,1,0,1,4,3
2022-01-12,Afghanistan,6,1,8,17,5
2022-01-12,Japan,7,8,16,64,27
2022-01-12,Sweden,1,0,1,4,3
2022-01-13,Afghanistan,7,1,7,17,5
2022-01-13,Japan,6,7,17,65,27
2022-01-13,Sweden,1,0,1,4,3
2022-01-14,Afghanistan,7,1,6,18,5
2022-01-14,Japan,6,5,17,67,27
2022-01-14,Sweden,1,0,1,4,3
2022-01-15,Afghanistan,7,1,6,18,5
2022-01-15,Japan,5,5,17,68,27
2022-01-15,Sweden,1,0,1,4,3
2022-01-16,Afghanistan,7,1,5,19,5
2022-01-16,Japan,5,4,17,69,27
2022-01-16,Sweden,1,0,1,4,3
2022-01-17,Afghanistan,7,1,3,21,5
2022-01-17,Japan,5,3,15,71,28
2022-01-17,Sweden,1,0,0,4,4
2022-01-18,Afghanistan,7,1,1,22,6
2022-01-18,Japan,4,3,14,72,29
2022-01-18,Sweden,1,0,0,4,4
2022-01-19,Afghanistan,7,1,1,22,6
2022-01-19,Japan,4,3,13,73,29
2022-01-19,Sweden,1,0,0,4,4
2022-01-20,Afghanistan,6,2,0,23,6
2022-01-20,Japan,3,3,12,75,29
2022-01-20,Sweden,1,0,0,4,4
2022-01-21,Afghanistan,6,1,1,23,6
2022-01-21,Japan,3,3,12,75,29
2022-01-21,Sweden,1,0,0,4,4
2022-01-22,Afghanistan,6,1,1,23,6
2022-01-22,Japan,4,2,13,74,29
2022-01-22,Sweden,1,0,0,4,4
2022-01-23,Afghanistan,6,1,1,23,6
2022-01-23,Japan,3,2,13,75,29
2022-01-23,Sweden,1,0,0,4,4
2022-01-24,Afghanistan,6,0,2,23,6
2022-01-24,Japan,2,2,13,76,29
2022-01-24,Sweden,1,0,0,4,4
2022-01-25,Afghanistan,5,1,2,23,6
2022-01-25,Japan,2,2,12,77,29
2022-01-25,Sweden,1,0,0,4,4
2022-01-26,Afghanistan,5,1,2,23,6
2022-01-26,Japan,2,2,11,78,29
2022-01-26,Sweden,1,0,0,4,4
2022-01-27,Afghanistan,3,3,2,23,6
2022-01-27,Japan,3,1,9,79,30
2022-01-27,Sweden,0,1,0,4,4
2022-01-28,Afghanistan,2,4,2,23,6
2022-01-28,Japan,3,1,6,81,31
2022-01-28,Sweden,0,1,0,4,4
2022-01-29,Afghanistan,2,3,3,23,6
2022-01-29,Japan,2,2,6,81,31
2022-01-29,Sweden,0,1,0,4,4
2022-01-30,Afghanistan,2,3,3,23,6
2022-01-30,Japan,2,2,5,82,31
2022-01-30,Sweden,0,1,0,4,4
2022-01-31,Afghanistan,2,1,4,24,6
2022-01-31,Japan,2,2,4,82,32
2022-01-31,Sweden,0,0,1,4,4
2022-02-01,Afghanistan,2,0,5,24,6
2022-02-01,Japan,2,1,4,83,32
2022-02-01,Sweden,0,0,1,4,4
2022-02-02,Afghanistan,3,0,5,23,6
2022-02-02,Japan,2,0,3,85,32
2022-02-02,Sweden,0,0,1,4,4
2022-02-03,Afghanistan,3,0,5,23,6
2022-02-03,Japan,2,0,3,85,32
2022-02-03,Sweden,0,0,1,4,4
2022-02-04,Afghanistan,3,0,4,24,6
2022-02-04,Japan,2,0,3,85,32
2022-02-04,Sweden,0,0,1,4,4
2022-02-05,Afghanistan,3,0,4,24,6
2022-02-05,Japan,2,0,2,86,32
2022-02-05,Sweden,0,0,1,4,4
2022-02-06,Afghanistan,3,0,4,24,6
2022-02-06,Japan,1,1,1,86,33
2022-02-06,Sweden,0,0,1,4,4
2022-02-07,Afghanistan,3,0,3,25,6
2022-02-07,Japan,1,1,0,87,33
2022-02-07,Sweden,0,0,1,4,4
2022-02-08,Afghanistan,3,0,3,25,6
2022-02-08,Japan,1,1,0,87,33
2022-02-08,Sweden,0,0,1,4,4
2022-02-09,Afghanistan,3,0,3,25,6
2022-02-09,Japan,1,1,0,87,33
2022-02-09,Sweden,0,0,1,4,4
2022-02-10,Afghanistan,3,0,3,25,6
2022-02-10,Japan,1,0,0,88,33
2022-02-10,Sweden,0,0,1,4,4
2022-02-11,Afghanistan,3,0,3,25,6
2022-02-11,Japan,2,0,0,87,33
2022-02-11,Sweden,0,0,1,4,4
2022-02-12,Afghanistan,3,0,2,26,6
2022-02-12,Japan,2,0,0,87,33
2022-02-12,Sweden,0,0,1,4,4
2022-02-13,Afghanistan,2,1,2,26,6
2022-02-13,Japan,2,0,0,87,33
2022-02-13,Sweden,0,0,1,4,4
2022-02-14,Afghanistan,2,1,1,27,6
2022-02-14,Japan,2,0,0,87,33
2022-02-14,Sweden,0,0,0,5,4
2022-02-15,Afghanistan,2,1,0,28,6
2022-02-15,Japan,2,0,0,87,33
2022-02-15,Sweden,0,0,0,5,4
2022-02-16,Afghanistan,2,1,0,28,6
2022-02-16,Japan,1,1,0,87,33
2022-02-16,Sweden,0,0,0,5,4
2022-02-17,Afghanistan,2,0,0,29,6
2022-02-17,Japan,1,1,0,87,33
2022-02-17,Sweden,0,0,0,5,4
2022-02-18,Afghanistan,2,0,0,29,6
2022-02-18,Japan,1,1,0,87,33
2022-02-18,Sweden,0,0,0,5,4
2022-02-19,Afghanistan,2,0,0,29,6
2022-02-19,Japan,0,2,0,87,33
2022-02-19,Sweden,0,0,0,5,4
2022-02-20,Afghanistan,2,0,0,29,6
2022-02-20,Japan,0,1,1,87,33
2022-02-20,Sweden,0,0,0,5,4
2022-02-21,Afghanistan,2,0,0,29,6
2022-02-21,Japan,0,1,1,87,33
2022-02-21,Sweden,0,0,0,5,4
2022-02-22,Afghanistan,1,1,0,29,6
2022-02-22,Japan,0,1,1,87,33
2022-02-22,Sweden,0,0,0,5,4
2022-02-23,Afghanistan,1,1,0,29,6
2022-02-23,Japan,0,0,2,87,33
2022-02-23,Sweden,0,0,0,5,4
2022-02-24,Afghanistan,1,1,0,29,6
2022-02-24,Japan,0,0,2,87,33
2022-02-24,Sweden,0,0,0,5,4
2022-02-25,Afghanistan,1,1,0,29,6
2022-02-25,Japan,0,0,2,87,33
2022-02-25,Sweden,0,0,0,5,4
2022-02-26,Afghanistan,1,0,1,29,6
2022-02-26,Japan,0,0,2,87,33
2022-02-26,Sweden,0,0,0,5,4
2022-02-27,Afghanistan,1,0,1,29,6
2022-02-27,Japan,0,0,2,87,33
2022-02-27,Sweden,0,0,0,5,4
2022-02-28,Afghanistan,1,0,1,29,6
2022-02-28,Japan,0,0,2,87,33
2022-02-28,Sweden,0,0,0,5,4
2022-03-01,Afghanistan,1,0,1,29,6
2022-03-01,Japan,0,0,2,87,33
2022-03-01,Sweden,0,0,0,5,4
2022-03-02,Afghanistan,1,0,1,29,6
2022-03-02,Japan,0,0,2,87,33
2022-03-02,Sweden,0,0,0,5,4
2022-03-03,Afghanistan,1,0,1,29,6
2022-03-03,Japan,0,0,2,87,33
2022-03-03,Sweden,0,0,0,5,4
2022-03-04,Afghanistan,1,0,1,29,6
2022-03-04,Japan,0,0,2,87,33
2022-03-04,Sweden,0,0,0,5,4
2022-03-05,Afghanistan,1,0,1,29,6
2022-03-05,Japan,0,0,2,87,33
2022-03-05,Sweden,0,0,0,5,4
2022-03-06,Afghanistan,1,0,1,29,6
2022-03-06,Japan,0,0,1,88,33
2022-03-06,Sweden,0,0,0,5,4
2022-03-07,Afghanistan,1,0,1,29,6
2022-03-07,Japan,0,0,1,88,33
2022-03-07,Sweden,0,0,0,5,4
2022-03-08,Afghanistan,1,0,1,29,6
2022-03-08,Japan,0,0,1,88,33
2022-03-08,Sweden,0,0,0,5,4
2022-03-09,Afghanistan,1,0,1,29,6
2022-03-09,Japan,0,0,0,89,33
2022-03-09,Sweden,0,0,0,5,4
2022-03-10,Afghanistan,1,0,1,29,6
2022-03-10,Japan,0,0,0,89,33
2022-03-10,Sweden,0,0,0,5,4
2022-03-11,Afghanistan,0,1,1,29,6
2022-03-11,Japan,0,0,0,89,33
2022-03-11,Sweden,0,0,0,5,4
2022-03-12,Afghanistan,0,1,0,30,6
2022-03-12,Japan,0,0,0,89,33
2022-03-12,Sweden,0,0,0,5,4
2022-03-13,Afghanistan,0,1,0,30,6
2022-03-13,Japan,0,0,0,89,33
2022-03-13,Sweden,0,0,0,5,4
2022-03-14,Afghanistan,0,1,0,30,6
2022-03-14,Japan,0,0,0,89,33
2022-03-14,Sweden,0,0,0,5,4
2022-03-15,Afghanistan,0,0,1,30,6
2022-03-15,Japan,0,0,0,89,33
2022-03-15,Sweden,0,0,0,5,4
2022-03-16,Afghanistan,0,0,1,30,6
2022-03-16,Japan,0,0,0,89,33
2022-03-16,Sweden,0,0,0,5,4
2022-03-17,Afghanistan,0,0,1,30,6
2022-03-17,Japan,0,0,0,89,33
2022-03-17,Sweden,0,0,0,5,4
2022-03-18,Afghanistan,0,0,1,30,6
2022-03-18,Japan,0,0,0,89,33
2022-03-18,Sweden,0,0,0,5,4
2022-03-19,Afghanistan,0,0,1,30,6
2022-03-19,Japan,0,0,0,89,33
2022-03-19,Sweden,0,0,0,5,4
2022-03-20,Afghanistan,0,0,1,30,6
2022-03-20,Japan,0,0,0,89,33
2022-03-20,Sweden,0,0,0,5,4
2022-03-21,Afghanistan,0,0,1,30,6
2022-03-21,Japan,0,0,0,89,33
2022-03-21,Sweden,0,0,0,5,4
2022-03-22,Afghanistan,0,0,1,30,6
2022-03-22,Japan,0,0,0,89,33
2022-03-22,Sweden,0,0,0,5,4
2022-03-23,Afghanistan,0,0,1,30,6
2022-03-23,Japan,0,0,0,89,33
2022-03-23,Sweden,0,0,0,5,4
2022-03-24,Afghanistan,0,0,1,30,6
2022-03-24,Japan,0,0,0,89,33
2022-03-24,Sweden,0,0,0,5,4
2022-03-25,Afghanistan,0,0,1,30,6
2022-03-25,Japan,0,0,0,89,33
2022-03-25,Sweden,0,0,0,5,4
2022-03-26,Afghanistan,0,0,1,30,6
2022-03-26,Japan,0,0,0,89,33
2022-03-26,Sweden,0,0,0,5,4
2022-03-27,Afghanistan,0,0,1,30,6
2022-03-27,Japan,0,0,0,89,33
2022-03-27,Sweden,0,0,0,5,4
2022-03-28,Afghanistan,0,0,1,30,6
2022-03-28,Japan,0,0,0,89,33
2022-03-28,Sweden,0,0,0,5,4
2022-03-29,Afghanistan,0,0,0,31,6
2022-03-29,Japan,0,0,0,89,33
2022-03-29,Sweden,0,0,0,5,4
2022-03-30,Afghanistan,0,0,0,31,6
2022-03-30,Japan,0,0,0,89,33
2022-03-30,Sweden,0,0,0,5,4
2022-03-31,Afghanistan,0,0,0,31,6
2022-03-31,Japan,0,0,0,89,33
2022-03-31,Sweden,0,0,0,5,4
2022-04-01,Afghanistan,0,0,0,31,6
2022-04-01,Japan,0,0,0,89,33
2022-04-01,Sweden,0,0,0,5,4
2022-04-02,Afghanistan,0,0,0,31,6
2022-04-02,Japan,0,0,0,89,33
2022-04-02,Sweden,0,0,0,5,4
2022-04-03,Afghanistan,0,0,0,31,6
2022-04-03,Japan,0,0,0,89,33
2022-04-03,Sweden,0,0,0,5,4
2022-04-04,Afghanistan,0,0,0,31,6
2022-04-04,Japan,0,0,0,89,33
2022-04-04,Sweden,0,0,0,5,4
2022-04-05,Afghanistan,0,0,0,31,6
2022-04-05,Japan,0,0,0,89,33
2022-04-05,Sweden,0,0,0,5,4
2022-04-06,Afghanistan,0,0,0,31,6
2022-04-06,Japan,0,0,0,89,33
2022-04-06,Sweden,0,0,0,5,4
2022-04-07,Afghanistan,0,0,0,31,6
2022-04-07,Japan,0,0,0,89,33
2022-04-07,Sweden,0,0,0,5,4
2022-04-08,Afghanistan,0,0,0,31,6
2022-04-08,Japan,0,0,0,89,33
2022-04-08,Sweden,0,0,0,5,4
2022-04-09,Afghanistan,0,0,0,31,6
2022-04-09,Japan,0,0,0,89,33
2022-04-09,Sweden,0,0,0,5,4
2022-04-10,Afghanistan,0,0,0,31,6
2022-04-10,Japan,0,0,0,89,33
2022-04-10,Sweden,0,0,0,5,4
2022-04-11,Afghanistan,0,0,0,31,6
2022-04-11,Japan,0,0,0,89,33
2022-04-11,Sweden,0,0,0,5,4
2022-04-12,Afghanistan,0,0,0,31,6
2022-04-12,Japan,0,0,0,89,33
2022-04-12,Sweden,0,0,0,5,4
2022-04-13,Afghanistan,0,0,0,31,6
2022-04-13,Japan,1,0,0,88,33
2022-04-13,Sweden,0,0,0,5,4
2022-04-14,Afghanistan,0,0,0,31,6
2022-04-14,Japan,3,0,0,86,33
2022-04-14,Sweden,0,0,0,5,4
2022-04-15,Afghanistan,0,0,0,31,6
2022-04-15,Japan,3,1,0,85,33
2022-04-15,Sweden,0,0,0,5,4
2022-04-16,Afghanistan,0,0,0,31,6
2022-04-16,Japan,5,2,0,82,33
2022-04-16,Sweden,0,0,0,5,4
2022-04-17,Afghanistan,0,0,0,31,6
2022-04-17,Japan,8,3,0,78,33
2022-04-17,Sweden,0,0,0,5,4
2022-04-18,Afghanistan,0,0,0,31,6
2022-04-18,Japan,9,4,0,76,33
2022-04-18,Sweden,1,0,0,4,4
2022-04-19,Afghanistan,1,0,0,30,6
2022-04-19,Japan,10,4,0,75,33
2022-04-19,Sweden,1,0,0,4,4
2022-04-20,Afghanistan,0,1,0,30,6
2022-04-20,Japan,6,8,0,75,33
2022-04-20,Sweden,1,0,0,4,4
2022-04-21,Afghanistan,1,1,0,29,6
2022-04-21,Japan,4,9,0,76,33
2022-04-21,Sweden,0,1,0,4,4
2022-04-22,Afghanistan,0,2,0,29,6
2022-04-22,Japan,5,11,1,72,33
2022-04-22,Sweden,0,1,0,4,4
2022-04-23,Afghanistan,0,2,0,29,6
2022-04-23,Japan,5,12,1,71,33
2022-04-23,Sweden,0,1,0,4,4
2022-04-24,Afghanistan,0,1,1,29,6
2022-04-24,Japan,7,7,4,71,33
2022-04-24,Sweden,0,1,0,4,4
2022-04-25,Afghanistan,0,1,1,29,6
2022-04-25,Japan,7,6,4,72,33
2022-04-25,Sweden,0,0,1,4,4
2022-04-26,Afghanistan,0,0,1,30,6
2022-04-26,Japan,5,5,6,73,33
2022-04-26,Sweden,1,0,1,3,4
2022-04-27,Afghanistan,1,0,1,29,6
2022-04-27,Japan,8,3,7,71,33
2022-04-27,Sweden,1,0,1,3,4
2022-04-28,Afghanistan,2,1,1,27,6
2022-04-28,Japan,9,6,7,67,33
2022-04-28,Sweden,0,1,1,3,4
2022-04-29,Afghanistan,2,1,1,27,6
2022-04-29,Japan,8,8,7,66,33
2022-04-29,Sweden,0,1,1,3,4
2022-04-30,Afghanistan,3,1,1,26,6
2022-04-30,Japan,8,8,7,66,33
2022-04-30,Sweden,1,1,1,2,4
